,"Defoamer Flow ","DSCHPump Speed","SCRNPump Speed","2POWPump Speed","Tank level","Production1st Stage","Production2nd Stage","Production1st POW","Production2nd POW(tpd)","Speed1st Stage","Speed2nd Stage","Speed1st POW","Speed2nd POW","Pre O2Kappa","Post O2Kappa","CODPre","CODPost","1st StageSolids","ImpregSolids","ConsistancyDischarge","North DSCH(Softwood)","Screen Feed tank","Stock1POW","2POW FD","1st StageFiltrate Tk"
"9/5/10 5:00 AM",2.51,65,65,65,36.94,1559,1614,1624,1736,9,9,10,9,13,8.8,199.8,45.8,13.7,16.9,5,3,5.1,5.2,5.1,3.1
"9/5/10 4:00 AM",2.5,65,65,65,37.1,1598,1546,1512,1629,9,8,9,9,12.3,9,199.8,45.8,13.7,16.9,5,3,5.1,5.2,5.1,2.9
"9/5/10 3:00 AM",2.38,65,65,65,37.27,1579,1559,1573,1599,8,8,9,9,13.3,9.5,199.8,45.8,13.7,16.9,4.8,3,5.1,5.3,5.1,2.5
"9/5/10 2:00 AM",2.44,65,65,65,37.43,1587,1507,1592,1735,7,8,9,9,13.2,8.9,199.8,45.8,13.7,16.9,4.3,3,5,5.2,5.2,1
"9/5/10 1:00 AM",2.05,65,65,65,37.59,1605,1545,1579,1708,9,8,9,9,12.4,8.8,199.8,45.8,13.9,16.8,5,3,5.1,5.2,5.1,1.8
"9/5/10 12:00 AM",1.7,65,65,65,37.75,1580,1589,1620,1726,9,8,10,9,12.9,8.9,199.8,45.8,13.9,16.8,5,3,5.1,5.3,5.1,1.3
"9/4/10 11:00 PM",1.57,65,65,65,37.87,1534,1560,1575,1652,9,9,10,9,13.1,10.1,246.3,56.7,13.9,16.8,5.1,3,5.1,5.3,5.1,2.2
"9/4/10 10:00 PM",1.55,65,65,65,37.99,1592,1523,1486,1560,9,8,8,8,14,10.1,246.3,56.7,13.9,16.8,5.2,3,5.2,5.2,5,2.1
"9/4/10 9:00 PM",1.43,65,65,65,38.11,1587,1602,1646,1760,9,9,10,9,13.6,9.7,246.3,56.7,14,16.9,5.1,3,5.1,5.2,5.1,1
"9/4/10 8:00 PM",1.32,65,65,65,38.23,1587,1584,1735,1790,9,9,10,9,13.4,9.8,246.3,56.7,14,16.9,5,3,5.1,4.9,5.1,1.2
"9/4/10 7:00 PM",1.19,65,65,65,38.34,1606,1522,1684,1682,8,8,9,9,13.6,9.6,246.3,56.7,14,16.9,4.8,3,5.1,4.7,5,0.4
"9/4/10 6:00 PM",1.04,65,65,65,38.46,1633,1507,1497,1474,7,8,8,8,13.9,11.1,246.3,56.7,14,16.9,4.3,3,5.1,4.7,5,-0.4
"9/4/10 5:00 PM",1.32,65,65,65,38.58,1152,888,1291,1636,7,7,7,9,14.7,9.2,246.3,56.7,14.1,17.1,5.1,3,4.1,4.4,4.9,-0.7
"9/4/10 4:00 PM",1.62,65,65,65,38.7,1538,1570,1547,1505,9,8,9,8,13.1,9.7,246.3,56.7,14.1,17.1,5.1,3,5,4.7,4.9,0.3
"9/4/10 3:00 PM",1.62,65,65,65,38.81,1000,874,1404,1690,7,5,7,9,13.4,10.8,246.3,56.7,14.1,17.1,5.1,3,4.1,4.5,4.9,-1.4
"9/4/10 2:00 PM",1.69,65,65,65,38.92,1574,1526,1589,1567,9,8,9,9,14.4,11.3,246.3,56.7,14.1,17.1,5.1,3,5,4.9,5,0.4
"9/4/10 1:00 PM",1.73,65,65,65,39.03,1261,971,1206,1541,6,5,6,8,14.9,10,246.3,56.7,14,16.8,4.7,3,4.9,4.4,4.7,-0.7
"9/4/10 12:00 PM",1.85,65,65,65,39.14,1587,1588,1633,1628,7,9,9,9,13.4,8.3,246.3,56.7,14,16.8,4.6,3,5,4.9,5.1,-1.4
"9/4/10 11:00 AM",2.01,65,65,65,39.25,1082,706,1115,1379,8,7,5,8,12.7,9.7,246.3,56.7,14,16.8,5,3,2,4.3,4.8,-3.8
"9/4/10 10:00 AM",2.01,65,65,65,39.36,1535,1362,1360,1211,7,7,7,7,12.9,10,246.3,56.7,14,16.8,3.9,3,4.9,4.8,4.9,-1.8
"9/4/10 9:00 AM",2.07,65,65,65,39.47,1575,1328,1527,1626,7,7,9,9,13.4,10.4,246.3,56.7,14.2,16.5,4.2,3,4.8,4.6,5,0.5
"9/4/10 8:00 AM",2.15,65,65,65,39.58,1586,1336,1536,1542,8,7,9,8,13.9,11.1,246.3,56.7,14.2,16.5,4.7,3,4.9,4.7,4.9,0.7
"9/4/10 7:00 AM",2.18,65,65,65,39.72,1595,1483,1525,1392,7,8,8,8,13.9,10.1,246.3,56.7,14.2,16.5,4.4,3,5,4.9,5,-0.2
"9/4/10 6:00 AM",2.32,65,65,65,39.87,1547,1542,1649,1584,8,8,9,9,13.6,11.1,246.3,56.7,14.2,16.5,4.9,3,5,4.9,5,0.7
"9/4/10 5:00 AM",2.32,65,65,65,40.02,1624,1577,1583,1549,9,9,10,9,14.3,10.6,272,47.5,14,16.5,5.1,3,5.1,4.9,4.9,1.6
"9/4/10 4:00 AM",2.24,65,65,65,40.17,1404,1470,1565,1590,8,8,10,9,13.9,11.1,272,47.5,14,16.5,5,3,5.1,4.9,4.9,1.1
"9/4/10 3:00 AM",2.33,65,65,65,40.32,1599,1532,1532,1631,9,8,9,9,15.2,10.9,272,47.5,14,16.5,5.2,3,5.2,4.7,5,1.7
"9/4/10 2:00 AM",2.2,65,65,65,40.47,1578,1620,1738,1684,9,9,10,9,14.3,10.4,272,47.5,14,16.5,5.1,3,5.1,5,5.1,0.4
"9/4/10 1:00 AM",2.27,65,65,65,40.62,1552,1556,1681,1740,12,8,10,9,13.9,11.5,272,47.5,14.4,16.5,5.2,3,5.2,4.9,5,0.9
"9/4/10 12:00 AM",2.14,65,65,65,40.77,1584,1548,1579,1594,9,8,10,9,15.1,10.4,272,47.5,14.4,16.5,5.2,3,5.2,4.9,4.9,1
"9/3/10 11:00 PM",2.06,65,65,65,40.91,1530,1451,1438,1425,10,8,8,8,13.6,9.2,218.4,41.4,14.4,16.5,5.3,3,5.2,4.7,4.8,0.4
"9/3/10 10:00 PM",2.07,65,65,65,41.06,1616,1620,1646,1662,9,9,10,9,13.3,9.1,218.4,41.4,14.4,16.5,5.2,3,5.1,5,5.4,0.9
"9/3/10 9:00 PM",2.04,65,65,65,41.21,900,1100,1482,1631,7,6,9,9,13.6,9.4,218.4,41.4,14.1,16.5,5.3,3,4.7,4.8,5.2,-3
"9/3/10 8:00 PM",1.96,65,65,65,41.36,1557,1594,1668,1668,9,9,10,9,13.5,9.8,218.4,41.4,14.1,16.5,5,3,5.1,5,5.3,0.2
"9/3/10 7:00 PM",2,65,65,65,41.5,1549,1284,1293,1337,7,7,7,7,13.3,10.2,218.4,41.4,14.1,16.5,4.4,3,5.2,4.7,5.2,-0.9
"9/3/10 6:00 PM",2.09,65,65,65,41.65,1610,1414,1600,1679,7,8,9,9,13.3,10,218.4,41.4,14.1,16.5,4.4,3,5,4.7,5.1,-0.3
"9/3/10 5:00 PM",2.01,65,65,65,41.8,1578,1583,1621,1701,9,8,9,9,13.7,10,218.4,41.4,13.7,17,4.9,3,5.1,4.7,5.2,0.2
"9/3/10 4:00 PM",1.76,65,65,65,41.94,1588,1630,1676,1712,9,9,9,9,13.6,7.5,218.4,41.4,13.7,17,5.2,3,5,4.7,5.3,-0.6
"9/3/10 3:00 PM",1.66,65,65,65,42.07,1567,1566,1602,1605,8,8,9,8,11.8,8,218.4,41.4,13.7,17,4.6,3,5,4.8,5.4,-0.9
"9/3/10 2:00 PM",1.54,55.25,55.25,55.25,42.19,1153,1108,1226,1276,6,6,7,7,12.6,8.1,218.4,41.4,13.7,17,5,3,4.9,4.7,5.3,-1.6
"9/3/10 1:00 PM",1.56,55.25,55.25,55.25,42.32,1184,1206,1321,1328,6,7,8,7,13,7.8,218.4,41.4,15.1,17.2,4.3,3,5.1,4.8,5.3,-1.3
"9/3/10 12:00 PM",1.52,56.83,56.83,56.83,42.44,1219,1247,1296,1262,6,6,7,7,12.6,8.7,218.4,41.4,15.1,17.2,5.2,3,5.1,4.8,5.4,-1
"9/3/10 11:00 AM",1.64,49.64,49.64,49.64,42.56,1151,1090,1366,1567,6,5,7,8,13.2,8.7,158.8,25.5,15.1,17.2,5.1,3,5,4.7,5.3,-1
"9/3/10 10:00 AM",1.79,65,65,65,42.69,1561,1608,1698,1773,9,9,10,9,13.4,8.5,158.8,25.5,15.1,17.2,5,3,5,4.7,5.2,0.4
"9/3/10 9:00 AM",1.98,65,65,65,42.81,1596,1641,1618,1623,9,9,9,9,13.1,8,158.8,25.5,15,17.3,5.2,3,5,4.5,5,0.6
"9/3/10 8:00 AM",2.15,65,65,65,42.94,1496,1603,1492,1349,8,8,8,8,12.8,8.4,158.8,25.5,15,17.3,5.1,3,5,4.6,5,-0.7
"9/3/10 7:00 AM",2.32,53.59,53.59,53.59,43.09,1326,1468,1607,1654,7,8,9,9,13.4,8.5,158.8,25.5,15,17.3,5.2,3,4.9,4.8,5.1,-0.1
"9/3/10 6:00 AM",2.38,65,65,65,43.23,1565,1517,1542,1569,9,8,9,9,13,8.6,158.8,25.5,15,17.3,5.1,3,5.2,4.8,5.1,-0.8
"9/3/10 5:00 AM",2.65,65,65,65,43.38,1483,1497,1479,1599,8,8,9,9,13.4,8.3,158.8,25.5,15.4,18.4,4.9,3,5,5.1,5.2,-0.7
"9/3/10 4:00 AM",2.56,65,65,65,43.52,1492,1487,1471,1545,8,8,9,9,13,7.5,158.8,25.5,15.4,18.4,5,3,5.1,5.1,5.1,0.4
"9/3/10 3:00 AM",2.49,65,65,65,43.67,1446,1461,1472,1581,8,8,10,9,12.1,7.4,158.8,25.5,15.4,18.4,5.1,3,5.3,5.1,5.2,-0.4
"9/3/10 2:00 AM",2.29,65,65,65,43.81,1505,1459,1493,1556,8,8,10,9,12.3,7.5,158.8,25.5,15.4,18.4,5,3,4.9,5.1,5.2,-1.4
"9/3/10 1:00 AM",2.11,65,65,65,43.96,1555,1489,1513,1589,8,8,10,8,12.1,7.1,158.8,25.5,16,18.9,4.8,3,5.1,5.6,5.2,-0.7
"9/3/10 12:00 AM",1.94,65,65,65,44.1,1481,1546,1561,1655,8,8,10,9,12.2,7.2,158.8,25.5,16,18.9,5.1,3,5.3,5.6,5.2,-2.1
"9/2/10 11:00 PM",1.78,65,65,65,44.23,1485,1538,1625,1736,9,8,10,9,12.7,6.5,179.3,38.5,16,18.9,5.1,3,5,5.6,5.3,-3.7
"9/2/10 10:00 PM",1.82,45,45,45,44.35,1555,1593,1590,1693,9,8,10,9,11.9,6.4,179.3,38.5,16,18.9,5,3,4.4,5.6,5.3,-3.8
"9/2/10 9:00 PM",1.76,45,45,45,44.48,1576,1612,1559,1597,8,8,10,8,11.9,6.7,179.3,38.5,15.6,20.2,4.9,3,4.3,5.6,5.2,-3.4
"9/2/10 8:00 PM",1.56,45,45,45,44.61,1553,1530,1582,1648,8,8,10,9,11.5,6.1,179.3,38.5,15.6,20.2,5.2,3,4.3,5.7,5.3,-4
"9/2/10 7:00 PM",1.42,45,45,45,44.74,1625,1462,1384,1507,8,7,9,8,11.7,7,179.3,38.5,15.6,20.2,5,3,4.4,5.5,5.1,-3.9
"9/2/10 6:00 PM",1.57,45,45,45,44.86,1658,1517,1630,1743,10,7,10,9,12.6,6.5,179.3,38.5,15.6,20.2,4.2,3,4.2,5.6,5.2,-3.5
"9/2/10 5:00 PM",1.77,45,45,45,44.99,1567,1595,1647,1718,8,8,10,9,11.5,6.5,179.3,38.5,14.6,19.1,5,3,4.3,5.6,5.3,-3.9
"9/2/10 4:00 PM",1.89,45,45,45,45.12,1562,1542,1581,1642,8,8,10,9,12.3,6.6,179.3,38.5,14.6,19.1,5.1,3,4.3,5.7,5.3,-4
"9/2/10 3:00 PM",1.96,45,45,45,45.24,1588,1550,1530,1628,8,7,10,9,12,7.3,179.3,38.5,14.6,19.1,5,3,4.3,5.6,5.2,-3.7
"9/2/10 2:00 PM",1.97,45,45,45,45.37,1591,1585,1566,1744,8,8,10,9,13.3,7.2,179.3,38.5,14.6,19.1,5,3,4.3,5.6,5.2,-3.9
"9/2/10 1:00 PM",2.02,45,45,45,45.49,1548,1614,1636,1728,9,8,11,9,12.7,6.6,179.3,38.5,14.6,19.1,5,3,4.3,5.6,5.2,-3.1
"9/2/10 12:00 PM",2.18,45,45,45,45.62,1607,1574,1650,1758,8,8,11,9,11.9,7.1,179.3,38.5,14.6,19.1,4.9,3,4.3,5.6,5.3,-3.6
"9/2/10 11:00 AM",2.23,45,45,45,45.74,1581,1682,1523,1730,8,8,10,9,12.9,6.9,179.3,38.5,14.6,19.1,4.9,3,4.4,5.5,5.2,-3.5
"9/2/10 10:00 AM",1.87,45,45,45,45.87,1617,1618,1684,1720,8,8,10,9,12.7,7.2,179.3,38.5,14.6,19.1,4.9,3,4.2,5.7,5.3,-3.8
"9/2/10 9:00 AM",1.53,45,45,45,45.99,1579,1519,1526,1750,9,7,10,9,12.5,6.7,179.3,38.5,14.7,19.2,5.1,3,4.4,5.5,5.2,-3.8
"9/2/10 8:00 AM",1.61,45,45,45,46.11,1579,1664,1656,1806,8,9,10,9,12.2,6.9,179.3,38.5,14.7,19.2,4.9,3,4.3,5.6,5.3,-3.6
"9/2/10 7:00 AM",1.64,45,45,45,46.22,1611,1570,1588,1739,8,8,10,9,12.8,6.7,179.3,38.5,14.7,19.2,4.9,3,4.3,5.6,5.3,-2.9
"9/2/10 6:00 AM",1.67,45,45,45,46.33,1594,1632,1518,1709,8,8,12,9,12.1,6.5,179.3,38.5,14.7,19.2,4.7,3,4.3,5.4,5.2,-3.1
"9/2/10 5:00 AM",1.65,45,45,45,46.44,1583,1603,1631,1743,8,8,12,9,11.7,6.8,179.3,38.5,15.6,19.5,5.1,3,4.2,5.4,5.2,-2.8
"9/2/10 4:00 AM",1.69,45,45,45,46.55,1547,1467,1537,1725,8,7,12,9,11.9,7.3,179.3,38.5,15.6,19.5,5,3,4.2,5.4,5.2,-2.8
"9/2/10 3:00 AM",1.68,45,45,45,46.66,1538,1531,1593,1727,8,8,11,9,12.8,7.4,179.3,38.5,15.6,19.5,5,3,4.2,5.3,5.2,-3.4
"9/2/10 2:00 AM",1.79,45,45,45,46.77,1574,1559,1614,1730,8,8,10,9,13.1,6.6,179.3,38.5,15.6,19.5,5.1,3,4.2,5.3,5.2,-2.6
"9/2/10 1:00 AM",1.67,45,45,45,46.87,1569,1616,1650,1742,9,8,10,9,11.9,6.2,179.3,38.5,15.5,19.1,5.1,3,4.3,5.4,5.3,-2.2
"9/2/10 12:00 AM",1.57,45,45,45,46.98,1533,1527,1666,1743,8,7,10,9,10.9,6.7,179.3,38.5,15.5,19.1,5.1,3,4.1,5.4,5.3,-2.1
"9/1/10 11:00 PM",1.56,45,45,45,47.09,1548,1570,1624,1787,8,8,10,9,11.7,6.7,220.3,58.6,15.5,19.1,5,3,4.2,5.3,5.3,-2
"9/1/10 10:00 PM",1.44,45,45,45,47.2,1574,1613,1595,1748,8,8,10,9,12,6.6,220.3,58.6,15.5,19.1,4.9,3,4.3,5.3,5.2,-1.7
"9/1/10 9:00 PM",1.53,45,45,45,47.31,1562,1558,1621,1775,8,8,10,9,11.1,7.1,220.3,58.6,15.5,18.8,4.9,3,4.2,5.4,5.3,-0.8
"9/1/10 8:00 PM",1.49,45,45,45,47.42,1559,1592,1558,1671,8,8,10,8,12.2,7.1,220.3,58.6,15.5,18.8,4.8,3,4.3,5.3,5.3,-0.6
"9/1/10 7:00 PM",1.43,45,45,45,47.53,1528,1433,1459,1461,9,7,8,7,11.7,6.7,220.3,58.6,15.5,18.8,5.1,3,4.4,5.2,5,-0.8
"9/1/10 6:00 PM",1.25,45,45,45,47.64,1571,1478,1643,1773,8,7,10,9,11.1,10,220.3,58.6,15.5,18.8,5,3,4.2,5,5.2,-0.4
"9/1/10 5:00 PM",1.47,45,45,45,47.74,1581,1400,1460,1479,7,7,9,8,13.5,9.9,220.3,58.6,14.4,17.4,4.2,3,4.1,5,5,2.5
"9/1/10 4:00 PM",1.51,65,65,65,47.85,1168,1028,1311,1571,7,6,7,9,12.8,9.6,220.3,58.6,14.4,17.4,4.9,3,5.1,4.8,4.9,1
"9/1/10 3:00 PM",1.46,65,65,65,47.95,1502,1522,1594,1618,8,8,10,9,13,9.5,220.3,58.6,14.4,17.4,4.9,3,5.2,5,5,1.8
"9/1/10 2:00 PM",1.52,65,65,65,48.06,1478,1502,1535,1568,8,8,9,9,13.4,9.4,220.3,58.6,14.4,17.4,4.9,3,5.2,5,5,0.9
"9/1/10 1:00 PM",1.45,65,65,65,48.16,1504,1497,1586,1630,8,8,10,9,13.1,9.3,220.3,58.6,14.4,17.4,4.8,3,5.2,5,5,0.4
"9/1/10 12:00 PM",1.6,65,65,65,48.26,1521,1475,1627,1624,8,8,10,9,13.5,9.2,220.3,58.6,14.4,17.4,5.1,3,5.2,5.1,5,0.3
"9/1/10 11:00 AM",1.58,65,65,65,48.36,1604,1468,1363,1295,9,8,8,7,12.7,9.1,215.5,54.9,14.4,17.4,5.1,3,5.3,5.1,5,1
"9/1/10 10:00 AM",1.86,65,65,65,48.47,1532,1356,1307,1289,8,7,7,8,12.7,10,215.5,54.9,14.4,17.4,4.8,3,5.3,4.9,4.9,0.2
"9/1/10 9:00 AM",2.46,65,65,65,48.57,1477,1525,1670,1636,7,9,10,9,12.9,9.7,215.5,54.9,14.5,17.3,4.8,3,5.1,5.1,5,1
